position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,coverage,num_vanishing_states,fault_sensitive_detection,bit_flip_detection,phase_detection,active_support_size
5,6,64,10,2,28,after_walk_step_2,0.9375,60,0.5555555555555248,0.8333333333332873,3.0372624720016784e-30,4
5,6,64,10,3,42,after_walk_step_3,0.921875,59,0.5277777777777333,0.7916666666665999,7.060055673305582e-30,5
5,6,64,10,4,56,after_walk_step_4,0.875,56,0.4583333333332805,0.6874999999999208,6.625381475056351e-30,8
5,6,64,10,5,70,after_walk_step_5,0.875,56,0.5277777777777006,0.7916666666665509,1.0250488180067756e-29,8
5,6,64,10,6,84,after_walk_step_6,0.8125,52,0.40277777777770624,0.6041666666665594,1.0865776501322939e-29,12
5,6,64,10,7,98,after_walk_step_7,0.796875,51,0.3767361111110332,0.5651041666665498,1.3651925802208445e-29,13
5,6,64,10,8,112,after_walk_step_8,0.75,48,0.3420138888888072,0.5130208333332108,1.2005745723144073e-29,16
5,6,64,10,9,126,after_walk_step_9,0.75,48,0.3917100694443388,0.5875651041665082,1.2562885713407145e-29,16
5,6,64,10,10,140,after_walk_step_10,0.71875,46,0.32877604166656815,0.4931640624998522,1.4195888814967472e-29,18
5,6,64,12,1,14,after_walk_step_1,0.96875,62,0.6666666666666488,0.999999999999973,1.192321990157448e-30,2
5,6,64,12,2,28,after_walk_step_2,0.9375,60,0.5555555555555248,0.8333333333332873,3.0372624720016784e-30,4
5,6,64,12,3,42,after_walk_step_3,0.921875,59,0.5277777777777333,0.7916666666665999,7.060055673305582e-30,5
5,6,64,12,4,56,after_walk_step_4,0.875,56,0.4583333333332805,0.6874999999999208,6.625381475056351e-30,8
5,6,64,12,5,70,after_walk_step_5,0.875,56,0.5277777777777006,0.7916666666665509,1.0250488180067756e-29,8
5,6,64,12,6,84,after_walk_step_6,0.8125,52,0.40277777777770624,0.6041666666665594,1.0865776501322939e-29,12
5,6,64,12,7,98,after_walk_step_7,0.796875,51,0.3767361111110332,0.5651041666665498,1.3651925802208445e-29,13
5,6,64,12,8,112,after_walk_step_8,0.75,48,0.3420138888888072,0.5130208333332108,1.2005745723144073e-29,16
5,6,64,12,9,126,after_walk_step_9,0.75,48,0.3917100694443388,0.5875651041665082,1.2562885713407145e-29,16
5,6,64,12,10,140,after_walk_step_10,0.71875,46,0.32877604166656815,0.4931640624998522,1.4195888814967472e-29,18
5,6,64,12,11,154,after_walk_step_11,0.671875,43,0.24891493055547353,0.3733723958332103,1.6913826703856654e-29,21
5,6,64,12,12,168,after_walk_step_12,0.625,40,0.21251085069436743,0.3187662760415511,1.6107433985079115e-29,24
6,7,128,2,1,16,after_walk_step_1,0.984375,126,0.6666666666666348,0.9999999999999521,3.9199049132810056e-30,2
