position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cost,benefit_cost_score,runtime_seconds,status,error_message,strategy
2,3,8,8,1,8,after_walk_step_1,0.125,simplified_boolean,8,6,0.75,0.75,0.7453125,20.0,29.0,12.0,204.0,108.0,277.0,20.0,12.0,29.0,0.11687704534829359,6.417000000000001,0.004419209000000035,ok,,early_checkpoint
2,3,8,8,8,64,after_walk_step_8,1.0,simplified_boolean,8,7,0.875,0.875,0.86953125,61.0,74.0,35.0,245.0,131.0,322.0,61.0,35.0,74.0,0.3314973897459872,2.6395381293061657,0.0049160830000000155,ok,,late_checkpoint
2,3,8,10,4,32,after_walk_step_4,0.4,simplified_boolean,8,7,0.875,0.875,0.870625,50.0,58.0,27.0,280.0,147.0,368.0,50.0,27.0,58.0,0.20982935951379147,4.170055143987078,0.005416957999999972,ok,,max_sparsity
2,3,8,10,2,16,after_walk_step_2,0.2,simplified_boolean,8,4,0.5,0.5,0.4975,1.0,1.0,1.0,231.0,121.0,311.0,1.0,1.0,1.0,0.00530232195730092,94.29831006612783,0.004141290999999936,ok,,min_oracle_cost
2,3,8,10,4,32,after_walk_step_4,0.4,simplified_boolean,8,7,0.875,0.875,0.870625,50.0,58.0,27.0,280.0,147.0,368.0,50.0,27.0,58.0,0.20982935951379147,4.170055143987078,0.005416957999999972,ok,,balanced_proxy
2,3,8,10,2,16,after_walk_step_2,0.2,simplified_boolean,8,4,0.5,0.5,0.4975,1.0,1.0,1.0,231.0,121.0,311.0,1.0,1.0,1.0,0.00530232195730092,94.29831006612783,0.004141290999999936,ok,,cost_benefit
2,3,8,10,1,8,after_walk_step_1,0.1,simplified_boolean,8,6,0.75,0.75,0.74625,20.0,29.0,12.0,250.0,132.0,339.0,20.0,12.0,29.0,0.09350163627863488,8.02125,0.005126999999999993,ok,,early_checkpoint
2,3,8,10,10,80,after_walk_step_10,1.0,simplified_boolean,8,4,0.5,0.5,0.4975,1.0,1.0,1.0,231.0,121.0,311.0,1.0,1.0,1.0,0.00530232195730092,94.29831006612783,0.004150084000000054,ok,,late_checkpoint
2,3,8,12,4,32,after_walk_step_4,0.3333333333333333,simplified_boolean,8,7,0.875,0.875,0.8713541666666667,50.0,58.0,27.0,326.0,171.0,430.0,50.0,27.0,58.0,0.17485779959482625,5.004066172784492,0.005070666999999918,ok,,max_sparsity
2,3,8,12,2,16,after_walk_step_2,0.16666666666666666,simplified_boolean,8,4,0.5,0.5,0.4979166666666667,1.0,1.0,1.0,277.0,145.0,373.0,1.0,1.0,1.0,0.004418601631084099,113.15797207935343,0.005234249999999996,ok,,min_oracle_cost
2,3,8,12,4,32,after_walk_step_4,0.3333333333333333,simplified_boolean,8,7,0.875,0.875,0.8713541666666667,50.0,58.0,27.0,326.0,171.0,430.0,50.0,27.0,58.0,0.17485779959482625,5.004066172784492,0.005070666999999918,ok,,balanced_proxy
2,3,8,12,2,16,after_walk_step_2,0.16666666666666666,simplified_boolean,8,4,0.5,0.5,0.4979166666666667,1.0,1.0,1.0,277.0,145.0,373.0,1.0,1.0,1.0,0.004418601631084099,113.15797207935343,0.005234249999999996,ok,,cost_benefit
2,3,8,12,1,8,after_walk_step_1,0.08333333333333333,simplified_boolean,8,6,0.75,0.75,0.746875,20.0,29.0,12.0,296.0,156.0,401.0,20.0,12.0,29.0,0.07791803023219573,9.625499999999999,0.004920916999999969,ok,,early_checkpoint
