position_qubits,total_qubits,basis_states,steps,checkpoint_step,checkpoint,label,relative_position,oracle_method,total_states,num_vanishing_states,coverage,sparsity,balanced_score,fault_sensitive_detection,bit_flip_detection,phase_detection,num_fault_locations,baseline_depth,baseline_cx_count,baseline_gate_count,oracle_depth,oracle_gate_count,oracle_cx_count,asserted_depth,asserted_cx_count,asserted_gate_count,asserted_depth_overhead,asserted_cx_overhead,asserted_gate_overhead,normalized_cx_overhead,normalized_cost,benefit_cost_score,detection_cost_score,runtime_seconds,status,error_message
3,4,16,2,2,20,after_walk_step_2,1.0,simplified_boolean,16,12,0.75,0.75,0.72,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,12,148,80,182,59.0,77.0,33.0,196.0,107.0,252.0,48.0,27.0,70.0,0.3375,0.3616337491337491,2.0739214793877405,1.382614319591824,0.011040041004889645,ok,
3,4,16,4,1,10,after_walk_step_1,0.25,minterm,16,14,0.875,0.875,0.8575,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,12,296,160,364,1025.0,1245.0,504.0,1316.0,660.0,1609.0,1020.0,500.0,1245.0,3.125,3.3304252054252053,0.26272921504876917,0.20017464003715713,0.029523917008191347,ok,
3,4,16,4,1,10,after_walk_step_1,0.25,simplified_boolean,16,14,0.875,0.875,0.8575,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,12,296,160,364,83.0,104.0,46.0,378.0,204.0,466.0,82.0,44.0,102.0,0.275,0.27924710424710425,3.1334255098513655,2.3873718170296074,0.013563792002969421,ok,
3,4,16,4,2,20,after_walk_step_2,0.5,minterm,16,12,0.75,0.75,0.735,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,12,296,160,364,879.0,1067.0,432.0,1161.0,584.0,1427.0,865.0,424.0,1063.0,2.65,2.83453865953866,0.2645933219065947,0.17639554793772938,0.0276047500083223,ok,
3,4,16,4,2,20,after_walk_step_2,0.5,simplified_boolean,16,12,0.75,0.75,0.735,0.4999999999999989,0.7499999999999983,4.979569072729027e-32,12,296,160,364,59.0,77.0,33.0,344.0,187.0,434.0,48.0,27.0,70.0,0.16875,0.18081687456687456,4.147842958775481,2.765228639183648,0.01343375000578817,ok,
3,4,16,4,3,30,after_walk_step_3,0.75,minterm,16,11,0.6875,0.6875,0.67375,0.3749999999999989,0.5624999999999983,2.577479498904506e-32,12,296,160,364,806.0,980.0,396.0,1079.0,544.0,1336.0,783.0,384.0,972.0,2.4,2.579192654192654,0.26655628026949507,0.14539433469245142,0.02616066600603517,ok,
3,4,16,4,3,30,after_walk_step_3,0.75,simplified_boolean,16,11,0.6875,0.6875,0.67375,0.3749999999999989,0.5624999999999983,2.577479498904506e-32,12,296,160,364,121.0,145.0,63.0,394.0,211.0,501.0,98.0,51.0,137.0,0.31875,0.34939424314424317,1.9676912642094506,1.0732861441142425,0.014246334001654759,ok,
3,4,16,4,4,40,after_walk_step_4,1.0,minterm,16,8,0.5,0.5,0.49,0.16666666666666596,0.24999999999999895,0.0,12,296,160,364,587.0,711.0,288.0,851.0,432.0,1063.0,555.0,272.0,699.0,1.7,1.8427655677655679,0.2713313124285643,0.09044377080952105,0.02189350000116974,ok,
3,4,16,4,4,40,after_walk_step_4,1.0,simplified_boolean,16,8,0.5,0.5,0.49,0.16666666666666596,0.24999999999999895,0.0,12,296,160,364,1.0,1.0,1.0,265.0,145.0,353.0,0.0,0.0,0.0,0.0,0.0009157509157509159,545.9999999999999,181.9999999999992,0.010729125002399087,ok,
3,4,16,6,1,10,after_walk_step_1,0.16666666666666666,minterm,16,14,0.875,0.875,0.8633333333333333,0.6666666666666655,0.9999999999999982,1.1879538661501787e-32,12,444,240,546,1025.0,1245.0,504.0,1464.0,740.0,1791.0,1020.0,500.0,1245.0,2.0833333333333335,2.2202834702834706,0.3940938225731537,0.30026196005573563,0.031087999988812953,ok,
